종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1301","-21","-1.59","69029811040"
"054620","APS","KOSDAQ","금융","4740","185","4.06","87188607540"
"079810","APS이노베이션","KOSDAQ","전기·전자","3835","10","0.26","82560240490"
"265520","AP시스템","KOSDAQ","기계·장비","24750","0","0.00","372507819750"
"211270","AP위성","KOSDAQ","전기·전자","11670","-260","-2.18","176010487680"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3340","95","2.93","209641442660"
"083790","CG인바이츠","KOSDAQ","일반서비스","1008","38","3.92","77509335456"
"035760","CJ ENM","KOSDAQ","오락·문화","38300","500","1.32","839886598200"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","5050","-20","-0.39","65980583100"
"051500","CJ프레시웨이","KOSDAQ","유통","24550","250","1.03","291447436300"
"058820","CMG제약","KOSDAQ","제약","1139","28","2.52","168392246437"
"056730","CNT85","KOSDAQ","건설","2000","86","4.49","29644474000"
"065770","CS","KOSDAQ","전기·전자","1679","35","2.13","16295643635"
"083660","CSA 코스믹","KOSDAQ","화학","396","91","29.84","24880465764"
"477760","DB금융스팩12호","KOSDAQ","금융","2065","-5","-0.24","12059600000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2580","35","1.38","40828956660"
"025440","DH오토웨어","KOSDAQ","전기·전자","730","0","0.00","35610293520"
"068790","DMS","KOSDAQ","기계·장비","5210","-20","-0.38","117590867040"
"241520","DSC인베스트먼트","KOSDAQ","금융","11410","-300","-2.56","303506000000"
"180400","DXVX","KOSDAQ","일반서비스","2595","-25","-0.95","255424376040"
"418620","E8","KOSDAQ","IT 서비스","1133","50","4.62","22490590441"
"245620","EDGC","KOSDAQ","일반서비스","741","0","0.00","167118555474"
"037370","EG","KOSDAQ","화학","3720","30","0.81","32084895840"
"050120","ES큐브","KOSDAQ","유통","2960","-235","-7.36","40149694560"
"214270","FSN","KOSDAQ","IT 서비스","1389","25","1.83","62858618565"
"032620","GC메디아이","KOSDAQ","IT 서비스","3180","70","2.25","165986902020"
"130500","GH신소재","KOSDAQ","섬유·의류","2105","25","1.20","30617334460"
"900290","GRT","KOSDAQ","금융","3180","115","3.75","260124000000"
"083450","GST","KOSDAQ","기계·장비","58400","-1400","-2.34","1076312000000"
"297890","HB솔루션","KOSDAQ","기계·장비","1909","-11","-0.57","139626004826"
"440290","HB인베스트먼트","KOSDAQ","금융","1892","58","3.16","52042165560"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2850","-60","-2.06","264240360600"
"225530","HC보광산업","KOSDAQ","비금속","2215","25","1.14","80490280305"
"060560","HC홈센타","KOSDAQ","유통","2060","45","2.23","52299282060"
"376270","HEM파마","KOSDAQ","일반서비스","51500","1750","3.52","370964130500"
"195940","HK이노엔","KOSDAQ","제약","43250","1000","2.37","1225267785750"
"028300","HLB","KOSDAQ","제약","50800","2450","5.07","6766469728400"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","3435","290","9.22","59880280260"
"067630","HLB생명과학","KOSDAQ","제약","3495","190","5.75","426100117710"
"024850","HLB이노베이션","KOSDAQ","전기·전자","14700","740","5.30","466777096800"
"187420","HLB제넥스","KOSDAQ","제약","2375","145","6.50","77316429250"
"047920","HLB제약","KOSDAQ","일반서비스","13140","1100","9.14","430983537840"
"115450","HLB테라퓨틱스","KOSDAQ","유통","2695","90","3.45","238723393755"
"046210","HLB파나진","KOSDAQ","제약","1590","108","7.29","72389456400"
"196300","HLB펩","KOSDAQ","제약","5080","110","2.21","47632310120"
"403870","HPSP","KOSDAQ","기계·장비","62800","-3500","-5.28","5168440000000"
"036640","HRS","KOSDAQ","화학","4800","-10","-0.21","78503040000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2105","0","0.00","8904150000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2140","-140","-6.14","9052200000"
"0099X0","IBKS제25호스팩","KOSDAQ","금융","2125","5","0.24","12707500000"
"095340","ISC","KOSDAQ","유통","194700","-4800","-2.41","4127067192600"
"950170","JTC","KOSDAQ","유통","4885","75","1.56","252780909980"
"067290","JW신약","KOSDAQ","제약","2335","537","29.87","130846635505"
"035900","JYP Ent.","KOSDAQ","오락·문화","57000","1300","2.33","2025352044000"
"318000","KBG","KOSDAQ","화학","3450","15","0.44","30153769350"
"024840","KBI메탈","KOSDAQ","금속","5530","780","16.42","229630037070"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3280","5","0.15","37720000000"
"478390","KB제29호스팩","KOSDAQ","금융","2040","-10","-0.49","12688800000"
"486630","KB제30호스팩","KOSDAQ","금융","2045","-5","-0.24","10858950000"
"492220","KB제31호스팩","KOSDAQ","금융","2020","0","0.00","12544200000"
"0037T0","KB제32호스팩","KOSDAQ","금융","2000","0","0.00","12660000000"
"0072Z0","KB제33호스팩","KOSDAQ","금융","1995","-2","-0.10","15730575000"
"021320","KCC건설","KOSDAQ","건설","5280","-120","-2.22","112992000000"
"044180","KD","KOSDAQ","건설","205","0","0.00","5477148795"
"151860","KG에코솔루션","KOSDAQ","운송장비·부품","5670","0","0.00","269909021340"
"035600","KG이니시스","KOSDAQ","IT 서비스","10050","-60","-0.59","276922061700"
"046440","KG파이낸셜","KOSDAQ","IT 서비스","4250","0","0.00","161545908500"
"060720","KH바텍","KOSDAQ","전기·전자","12410","-150","-1.19","293837055220"
"058400","KNN","KOSDAQ","오락·문화","613","33","5.69","81179418360"
"101000","KS인더스트리","KOSDAQ","기계·장비","624","7","1.13","24736575552"
"089600","KT나스미디어","KOSDAQ","일반서비스","10410","-10","-0.10","120424576830"
"418470","KT밀리의서재","KOSDAQ","IT 서비스","10790","100","0.94","92424863310"
"043610","KT지니뮤직","KOSDAQ","오락·문화","1529","17","1.12","88858504702"
"122450","KX","KOSDAQ","오락·문화","2850","-5","-0.18","127736526900"
"052900","KX하이텍","KOSDAQ","화학","1433","-2","-0.14","104715989213"
"036560","KZ정밀","KOSDAQ","기계·장비","12510","0","0.00","197032500000"
"061970","LB세미콘","KOSDAQ","전기·전자","5550","250","4.72","322360683300"
"309960","LB인베스트먼트","KOSDAQ","금융","4620","35","0.76","107263644180"
"073490","LIG아큐버","KOSDAQ","전기·전자","35000","-200","-0.57","266134610000"
"225190","LK삼양","KOSDAQ","의료·정밀기기","1302","-32","-2.40","91749908880"
"060370","LS마린솔루션","KOSDAQ","건설","31250","-350","-1.11","1632464187500"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","17690","-270","-1.50","1196775537710"
"078020","LS증권","KOSDAQ","금융","6650","-60","-0.89","368949913500"
"322180","LS티라유텍","KOSDAQ","IT 서비스","5540","200","3.75","115907791360"
